"","purity"
"TCGA-E2-A1IH-01A",0.587618400164915
"TCGA-XX-A89A-01A",0.522796568801008
"TCGA-E9-A1RH-01A",0.580438915042946
"TCGA-E9-A1N3-01A",0.671155544322326
"TCGA-AC-A8OR-01A",0.745765715518375
"TCGA-AO-A0JB-01A",0.778094410339904
"TCGA-AC-A6IV-01A",0.49694663761174
"TCGA-AR-A1AY-01A",0.757508738875385
"TCGA-BH-A0GY-01A",0.674555096342792
"TCGA-AR-A2LL-01A",0.671787551958246
"TCGA-BH-A208-01A",0.56677017685093
"TCGA-EW-A1PE-01A",0.668089930208355
"TCGA-E2-A1B1-01A",0.422777355197763
"TCGA-BH-A0C0-01A",0.498012193117601
"TCGA-PE-A5DD-01A",0.719816366264483
"TCGA-AR-A2LH-01A",0.411246290220357
"TCGA-BH-A0H0-01A",0.828222112846616
"TCGA-BH-A6R9-01A",0.420755518849078
"TCGA-5L-AAT1-01A",0.516119563517533
"TCGA-AC-A3BB-01A",0.532818127566595
"TCGA-AR-A0TT-01A",0.530677406095255
"TCGA-EW-A6SB-01A",0.546261025402044
"TCGA-AC-A62V-01A",0.732807062338002
"TCGA-D8-A1XQ-01A",0.678289200864973
"TCGA-BH-A0DD-01A",0.807864886877103
"TCGA-Z7-A8R6-01A",0.79907876837359
"TCGA-OL-A5DA-01A",0.691671239724424
"TCGA-WT-AB41-01A",0.539558704215873
"TCGA-E2-A1LA-01A",0.606255123841692
"TCGA-E2-A1L9-01A",0.629399696834531
"TCGA-LL-A73Y-01A",0.572226321119763
"TCGA-D8-A1XU-01A",0.584053569340112
"TCGA-B6-A0RT-01A",0.361597619520071
"TCGA-BH-A0DK-01A",0.586085214987993
"TCGA-LL-A7SZ-01A",0.534828169188135
"TCGA-C8-A26Y-01A",0.589678280177221
"TCGA-LD-A74U-01A",0.508979034179335
"TCGA-BH-A1ET-01A",0.692501139195948
"TCGA-A7-A2KD-01A",0.669854518210288
"TCGA-D8-A1JE-01A",0.615512239259314
"TCGA-B6-A0WX-01A",0.552971048645806
"TCGA-A7-A4SB-01A",0.709474152001476
"TCGA-EW-A1J1-01A",0.775516075094657
"TCGA-A2-A0YM-01A",0.702444091641261
"TCGA-AR-A24X-01A",0.670226330528975
"TCGA-A2-A0SY-01A",0.662263867218731
"TCGA-B6-A0RU-01A",0.575662737161627
"TCGA-E2-A1IO-01A",0.584464922926748
"TCGA-PL-A8LZ-01A",0.490954897720319
"TCGA-B6-A1KI-01A",0.611200144075108
"TCGA-B6-A401-01A",0.555898127822288
"TCGA-PL-A8LV-01A",0.620744350092127
"TCGA-A2-A0EN-01A",0.517823807021984
"TCGA-OL-A5D7-01A",0.621982759236184
"TCGA-BH-A1FH-01A",0.384121449243021
"TCGA-GM-A3XL-01A",0.613223955882287
"TCGA-W8-A86G-01A",0.564917288049712
"TCGA-BH-A0DH-01A",0.767248897616352
"TCGA-BH-A0HK-01A",0.767340354586222
"TCGA-BH-A42U-01A",0.381344025210295
"TCGA-AR-A1AO-01A",0.330603023277516
"TCGA-Z7-A8R5-01A",0.498474990721998
"TCGA-B6-A0I1-01A",0.720954136572491
"TCGA-E2-A1BC-01A",0.59791837219857
"TCGA-EW-A1PA-01A",0.604157244421058
"TCGA-BH-A0W4-01A",0.637824004783655
"TCGA-A2-A3XZ-01A",0.473812268758357
"TCGA-E2-A1B0-01A",0.583549300030108
